CUSTOMERKEY,GEOGRAPHYKEY,CUSTOMERALTERNATEKEY,TITLE,FIRSTNAME,MIDDLENAME,LASTNAME,NAMESTYLE,BIRTHDATE,MARITALSTATUS,SUFFIX,GENDER,EMAILADDRESS,YEARLYINCOME,TOTALCHILDREN,NUMBERCHILDRENATHOME,ENGLISHEDUCATION,SPANISHEDUCATION,FRENCHEDUCATION,ENGLISHOCCUPATION,SPANISHOCCUPATION,FRENCHOCCUPATION,HOUSEOWNERFLAG,NUMBERCARSOWNED,ADDRESSLINE1,ADDRESSLINE2,PHONE,DATEFIRSTPURCHASE,COMMUTEDISTANCE
19832,307,AW00019832,,Sheila,S,Hernandez,0,21-05-1978,M,,F,sheila4@adventure-works.com,40000,4,3,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,0,3,2100 Grant Street,,202-555-0187,17-12-2013,5-10 Miles
19833,539,AW00019833,,Michelle,N,Kelly,0,22-08-1947,M,,F,michelle4@adventure-works.com,50000,4,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,2,1104 Colton Ln,,763-555-0131,12/4/2013,10+ Miles
19834,612,AW00019834,,Johnny,,Sharma,0,2/2/1948,M,,M,johnny10@adventure-works.com,50000,4,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,2,9811 Toledo,,395-555-0165,15-06-2013,10+ Miles
19835,545,AW00019835,,Jordan,L,Allen,0,9/7/1947,M,,F,jordan52@adventure-works.com,60000,3,0,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,1,2,2553 Croyden Dr.,,461-555-0187,17-12-2013,10+ Miles
19836,51,AW00019836,,Kevin,,Jai,0,2/2/1948,M,,M,kevin35@adventure-works.com,60000,3,0,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,0,2,5087 Pastime Drive,,861-555-0126,18-03-2013,1-2 Miles
19837,299,AW00019837,,Philip,B,Jimenez,0,4/9/1958,M,,M,philip5@adventure-works.com,70000,5,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,2,2059 Brookdale Dr,,842-555-0128,20-09-2013,10+ Miles
19838,552,AW00019838,,Jared,,Ramirez,0,16-04-1948,M,,M,jared10@adventure-works.com,70000,5,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,2,3978 Spring Hill Dr.,,979-555-0180,3/9/2013,10+ Miles
19839,41,AW00019839,,Carly,,Yuan,0,19-01-1949,M,,F,carly6@adventure-works.com,60000,3,0,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,0,2,5831 Mountain View Place,,938-555-0142,16-04-2013,1-2 Miles
19840,329,AW00019840,,Jessica,,James,0,10/3/1949,M,,F,jessica20@adventure-works.com,60000,4,0,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,1,2,9770 Fraga Court,#91,983-555-0126,28-12-2013,10+ Miles
19841,316,AW00019841,,Alexandria,L,Jenkins,0,30-09-1954,M,,F,alexandria7@adventure-works.com,70000,5,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,0,2,3274 Reading Dr,,741-555-0112,20-09-2013,1-2 Miles
19842,611,AW00019842,,Katherine,S,Phillips,0,29-10-1948,M,,F,katherine54@adventure-works.com,70000,5,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,2,6414 Honey Court,,998-555-0115,28-10-2013,10+ Miles
19843,326,AW00019843,,Connor,G,Kumar,0,16-06-1954,S,,M,connor23@adventure-works.com,70000,5,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,2,1855 Rio Blanco Drive,,652-555-0150,5/10/2013,10+ Miles
19844,59,AW00019844,,Emma,,Murphy,0,2/3/1949,M,,F,emma32@adventure-works.com,70000,5,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,2,3754 Alray Drive,,831-555-0134,14-04-2011,1-2 Miles
19845,648,AW00019845,,Fernando,P,Hernandez,0,7/8/1948,M,,M,fernando24@adventure-works.com,70000,5,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,2,1156 Corte Poquito,,207-555-0132,11/10/2013,10+ Miles
19846,548,AW00019846,,Seth,J,Patterson,0,20-04-1949,M,,M,seth58@adventure-works.com,70000,5,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,2,2093 Frayne Ct.,,652-555-0172,3/10/2013,10+ Miles
19847,49,AW00019847,,Brendan,L,Anand,0,25-08-1948,S,,M,brendan20@adventure-works.com,70000,5,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,2,769 Algiers Drive,,744-555-0142,16-11-2013,10+ Miles
19848,611,AW00019848,,Bryant,C,Malhotra,0,12/8/1948,M,,M,bryant5@adventure-works.com,80000,5,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,2,1362 Somerset Place,,405-555-0129,20-12-2013,5-10 Miles
19849,298,AW00019849,,Jorge,J,Wu,0,12/4/1955,M,,M,jorge8@adventure-works.com,40000,4,0,High School,Educación secundaria,Bac + 2,Professional,Profesional,Cadre,0,2,4732 Mt. Hood Circle,,276-555-0137,23-04-2013,10+ Miles
19850,338,AW00019850,,Jeremiah,C,Hill,0,14-01-1950,M,,M,jeremiah16@adventure-works.com,40000,4,0,High School,Educación secundaria,Bac + 2,Professional,Profesional,Cadre,0,2,2354 Frame Ln.,,452-555-0170,23-12-2013,1-2 Miles
19851,301,AW00019851,,Louis,M,Pal,0,2/12/1950,S,,M,louis28@adventure-works.com,70000,4,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,2,3752 San Ramon Valley Blvd.,,277-555-0119,2/6/2013,10+ Miles
19852,626,AW00019852,,Eric,,Carter,0,22-04-1951,S,,M,eric52@adventure-works.com,70000,5,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,2,3409 Meadowbrook Court,,556-555-0163,17-03-2013,10+ Miles
19853,305,AW00019853,,Ricky,E,Ramos,0,9/8/1957,M,,M,ricky18@adventure-works.com,70000,5,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,3,2141 Pepperridge Way,,905-555-0186,11/10/2013,2-5 Miles
19854,347,AW00019854,,Katherine,E,Hall,0,15-04-1952,S,,F,katherine95@adventure-works.com,70000,5,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,3,2386 Juniper Drive,,419-555-0137,1/10/2013,10+ Miles
19855,60,AW00019855,,John,,Smith,0,22-02-1957,M,,M,john37@adventure-works.com,70000,5,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,3,9869 Fall Creek,,835-555-0141,21-05-2011,2-5 Miles
19856,301,AW00019856,,Tammy,K,Madan,0,14-12-1951,M,,F,tammy8@adventure-works.com,60000,4,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,2,7421 Palisade Court,,875-555-0133,31-05-2013,2-5 Miles
19857,368,AW00019857,,Megan,M,Rogers,0,12/3/1952,S,,F,megan30@adventure-works.com,60000,4,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,2,9006 Woodside Way,,496-555-0117,22-04-2013,10+ Miles
19858,548,AW00019858,,Jenna,G,Collins,0,21-04-1952,M,,F,jenna2@adventure-works.com,60000,4,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,2,8600 Camelot Court,,229-555-0196,3/12/2013,10+ Miles
19859,302,AW00019859,,Lisa,C,Zhao,0,8/1/1952,M,,F,lisa14@adventure-works.com,60000,4,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,2,491 Cali,,432-555-0153,19-05-2013,10+ Miles
19860,607,AW00019860,,Sara,,Young,0,11/4/1953,S,,F,sara44@adventure-works.com,70000,2,1,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,1,5793 St. Helena Drive,,729-555-0182,26-02-2013,10+ Miles
19861,542,AW00019861,,Caroline,,Perry,0,3/3/1953,M,,F,caroline9@adventure-works.com,70000,2,1,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,1,8325 Newcastle Rd,,125-555-0159,12/6/2013,2-5 Miles
19862,63,AW00019862,,Emily,P,Harris,0,7/2/1954,M,,F,emily14@adventure-works.com,40000,2,1,High School,Educación secundaria,Bac + 2,Professional,Profesional,Cadre,0,2,4203 Windmill Way,,141-555-0154,28-04-2013,2-5 Miles
